Name,Type,City,TikTok Link,Transcript,Available
Rau Má Mix,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7219655919569800450,"It's kinda weird, but really good. like the matcha of vietnam ",yes
"Ocean Palace, Quan 1",Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"
 hella fancy Chinese spot.
It was really authentic.  great for yum cha",yes
Saigon Central Post Office,Experience,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"Then we went to be a typical tourist at the post office.
I swear this is on every itinerary.
Not surprised
it was packed with tourists.
But if you take that away,
it feels like I was transported back in time.
Picked up my favorite letter
and sent it back home to my parents.
",
Tan Dinh Church,Experience,Saigon,https://www.tiktok.com/@brandneweats/video/7326398793815969031,"Over to the Pink Church.
And we can't go inside cause right now
I think the service on Saturdays and Sundays,
but it's outside that matters, not inside.
",
Ho Thi Ky Night Market,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7204394863167606017,"Everything I ate for $5
at the  at Ho Thi Ky Night Market in saigon
This market is a hidden local gem
that has over hundred stores.
And one of them is this lady
that was sloshing away with this squid and oil.
So I had to try it.
And it's covered with cumin,
which is so delectable.
Then I saw this uncle that didn't have any customers,
but his school is really good
and they were tasted like smoky beef jerky.
Next I found my favorite Viet dessert,
avocado ice cream.
This coconut ice cream slathered with avocado puree.
And the weather was really hot,
but this was freezing cold.
Then I had some takiyyaki,
which is surprisingly decent.
And this really caught my eye.
Looks like takoyaki
but it's actually quail egg
with toppings like seaweed and meat.
It's really crispy at the bottom
and the Kewpie Mayo
chilli sauce combo made it the perfect street snack.
We were really thirsty
and we found my cousin's favourite place
for peach iced tea,
which was so refreshing and full of peachy flavour.
And finally I had bun caulk
mini savory pancakes topped with meat,
prawns and egg.
It was really crispy
but a bit too dry and oily here.",yes
Pizza 4Ps,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7344679237082762504,"Is pizza and pasta in Vietnam a waste or is it great?
Normally I avoid anything that's not Viet food,
but I needed to reset my palette.
So let's start with the burrata
that was mixed with fruit.
Sounds strange,
but the sweet and creamy combo works,
at least for a few bites.
Next, the signature crab pasta had an intense
creamy krabby flavor like a bisque.
The pasta was nice and al dente.
Finally, the pizza.
Impressed to see wood fired
because it's not real pizza without that smoky flavor.
The four cheese drizzled with honey was delicious.
And the Margarita was just decent.
It's obviously not as good as Naples or even Sydney,
but overall, pretty great.",yes
Bánh Mì Hồng Hoa,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7315026196121570561,"Finally, find a banh mi in Vietnam
that's on par with the ones in Sydney.
I got the bun meter.
Com. This is the small one.
This is 38 k, $2.
Let's give it a go.
Hmm. The base, so crispy and light.
The patay is really turm flavorful.
They put the right amount of cold meat,
pork, rice and pickled veggies.
It's just a really well balanced bun meat.
Better than hoonhuang, like nearby.",yes
Com Tam Ba Ghien,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7275310178642300161,"Today I missed a flight,
but it's alright because I got to try this famous
Michelin Guide com tam spot in saigong.
So let's see if it's worth the hype.
I ordered the special 9 dollar plate
which had everything.
It's pretty expensive for Vietnam standards,
but the portion was massive.
Pork chop was nice and smoky,
but to be on the sweet side,
this shredded pork skin beef just hit the spot.
It came with a few other meats like this meatloaf,
which is so nice and soft.
It also had this sausage and meatball,
but these were kind of redundant and cold.
I recommend just getting the plate with a pork chop,
egg and meatloaf.
But honestly,
you can go to a random com tam spot on the street
and it'll probably be just as good.",yes
Secret Garden District Saigon,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7274913856378490113,"I just found a hidden rooftop restaurant in saigon
You literally have to climb out eight flights of stairs
in a random apartment complex.
But once you see the city skyline,
it's all worth it.
They serve home style dishes,
which I won't lie to you,
I'm gonna be the best food you get in the city,
but it's not that watered down.
Even my local Viet cousins approved.
The really good dishes were this mango and fish salad,
this grilled egg plain with scallion oil
and the deep fried anchovies.
It's full of tourists,
so it's on the more expensive side,
around 8 to 13 AUD per dish.
But I think the overall experience makes it worth it,
especially if you are tourist.",yes
Cuc Gach Restaurant,Eat,Saigon,https://www.tiktok.com/@brandneweats/video/7176013846396636417,"guys, I've just found my new favourite restaurant
in Saigon District 1.
and it's caught Cuc Gach,
which means brick in English.
and I think that's because they serve homestyle meals,
which really reminded me of my mom's cooking.
holy. this is the best cooked supper crab I've had.
I think I ordered 10 dishes and everything was top tier.
probably don't like this. dude.
the dishes were around 100 250 K each,
which is around like 6 to $8 each.
I mean, just look at my reaction to this salad.
I can't recommend this place enough
if you're looking for more upscale,
you know, out of the street.
this is a 10 out of 10",yes
Tam Vi,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7188377571887680770,"if you want to eat like a Viet king,
then save this restaurant in Hanoi.
the moment you walk in,
it feels like you're transported
back to the Nguyen dynasty.
and even the food tastes like what they would eat.
these were the highlights that I recommend getting
for a world balanced royal feast,
especially these spring rolls in the meat stuffed tofu,
which I stuffed up.
so can't forget the infamous
the car reminds me of home.
this costed us $10 per person,
and this was the best food I had in Hanoi.",yes
Cafe Pho Co,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7178830572565859585,,no
Bun Cha Huong Lien,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7178124001141607682,"this is the most famous place to get boomjaw in Hanoi
because Obama ate here.
but is it worth the hype?
of course! we had to get the Obama set
and this comes with bun cha ,
beer and a seafood spring roll for $5.
considering the Obama name tag
is pretty reasonably priced.
basically how you ate this.
you dunked the noodles in the sauce
and then ate some of the meat and the veggies.
this bun cha  was perfect.
the meat had a strong smoky flavor and the fish sauce
soup was the perfect tangy compliment.
the spring roll was the best I've had.
just listen to this.
so crisp. but the hype.
definitely check it out
and follow for more authentic food recs in Vietnam.",yes
Phở Gia Truyền Bát Đàn,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7179550393586748673,"my local friend told me to go here
for the best bowl of pho in Hanoi.
this place has been doing it for over 60 years
and it's already packed at 6am with all the locals.
I got the Pho Tai Nam and this was 3.
the broth is light,
beefy, gingery, and it's good for breakfast,
but doesn't really compare with southern pho,
which has more depth and spice flavor.
also, what makes northern Pho special
is you get these Chinese donuts.
I'm not really a big fan of it.
by my friend Victor on the other hand.
and to top it off,
we also got a free bug in our soup, which",yes
Lâm Phở Bò,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7400376101769383186,"Classic Beef Pho  We're starting off with the obvious,
the classic beef pho, which originated in the north.
You know, the very first time I tried a Hanoi pho,
I was really underwhelmed cause I'm so used to the southern one,
which is more sweet and spiceful.
But this spot just made me appreciate northern fur as its own thing.
Oh, that's really good. Wow.
They're super beefy, fragrant from the ginger.
And you gotta eat it with these Chinese doughnuts
cause they'll just soak up all that good soup.",
Pho Cuon Huong Mai,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7400376101769383186,Pho Cuon & Deep Fried Pho Puffs,
Pho Co Hao,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7400376101769383186,"Pho Xao (Stir fried pho) 
fried rice noodles with beef veggies.
This is still fried rice noodles.
Yeah, not too salty.
Pretty good.",
Bun Cha 34,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7403330441538735378,"I dream about this. bun cha
on the regular. And I'm so mad.
It's an eight hour flight away.
This spot is on the Michelin Guide,
which low key made me think it was gonna be a tourist trap,
but it was actually full of locals.
There's literally one granny grilling away.
She side eyeing me, but don't worry,
ask for permission. And that turns into this massive bucket of meat.
The aunties at the front prepare your spread
and serve it in this metal tray.
Can you believe this was $3?
So the meat is super smoky
and that fish sauce was an Olympic punch of flavor.
This deserves a gold medal.
And the crab spring rolls were that good that I had to go for seconds.
Also, some people say that hanoi's are really cold,
but these ladies were so nice
they offered me a free refill of my veggies and half a banana.",yes
Pho 10 Ly Quoc Su,Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7418553757996305671,"This might be the most expensive bowl pho I've ever had in my life
cause it might cost me my flight.
Let's see if I'll make it.
We're at the Michelin Guide spot to see if it's actually good.
It's like they know I have a flight to catch
cause this took like 30 seconds.
So I got the rare beef and brisket bowl
and this was 70 k for kangaroo dollars.
That might sound cheap,
but it's actually on the more expensive side here.
But hey, it's a touristy spot. Still.
The flour is solid. Nice beefy soup,
good quality meat, slippery noodles.
It's the most Sydney tasting pho I've had here.",yes
Hanoi Train Street,Experience,Hanoi,https://www.tiktok.com/@brandneweats/video/7176953964766694658,"come with me to the closed
Hanoi Train Street.
so it's officially closed,
but you can actually still go in.
so we tried going in one way, but
there was this police officer that was blocking the way,
so he walked around.
and then there was this dude that LED us in.
and I was expecting to get scared,
but the drinks are actually fairly priced.
the trains come around every hour
and I was lucky enough to see 2.
but warting they're pretty loud.
and these cafes actually only operate on days
when there are no police patrols.
and feel really bad for these cafe owners because,
well, as essentially their livelihood is now kneecapped.
so come support them
and of course be sensible
and follow for more Vietnam adventures and food.",yes
Chef Dung,Eat,Ninh Binh,https://www.tiktok.com/@brandneweats/video/7182793362875878658,"this was the most
wholesome meal I've ever had in Vietnam.
this place is run by a husband and wife
who are the best humans.
they make their food straight out of their family home,
and they use produce from their own backyard.
it's located in the mountains of Nimbin,
and we walked in the dark to get here.
you see, in an outdoor area in the backyard,
and it feels just like a family gathering.
there's no menu,
but they can cater to whatever you want to eat.
just kept coming out with more and more food,
and I was so full I couldn't breathe.
and every dish was immaculate or 10 out of 10.
but the highlight was definitely this sea
snail stir fry.
all of this cost only 8 dollars per person,
and that's insanely cheap because we got so much.
and for dessert,
the owner offered us some of his homemade alcohol.
he also joined us.
I had no idea what was in this.
so when you need to recover,
there's also hammocks that you can lie in.
recommend calling them in advance
so they can prepare all this food for you.
so, yeah, please come to Chef Dung.
it's still very unknown,
and they deserve all the traffic that they can get.",yes
For You Homestay,Stay,Ninh Binh,https://www.tiktok.com/@brandneweats/video/7184045666362985729,"this has got to be the best homestay in Vietnam.
this place is surrounded by mountains
and it's an insane feeling waking up to it every day.
you stay in cozy hot star rooms
and sometimes with a frog friend as well.
breakfast is free
so you can enjoy a ball of fur with a view.
there's also a cool chill out area
where you can just exist with the home
pigeons and the mountains.
this place also has the perfect photo ops
and it's even more beautiful at sunset.
and all of this costs 12 AUD per person per night.",yes
Trang An,Experience,Ninh Binh,https://www.tiktok.com/@brandneweats/video/7179741417525251330,"it felt like I was transported into a dream world drifting away with head empty, completely at peace. By far my favourite experience in Vietnam.",no
Hang Mua,Experience,Ninh Binh,https://www.tiktok.com/@brandneweats/video/7187025036228807938,"if riding a dragon on top of the mountain
sounds good to you,
then you have to come to Hang Mua in Ninh Mua.
start your quest riding through these golden
vegetable fields,
then park your bike,
run up 500 steps to the summit,
where it will probably be packed with other tourists
just like you.
but the reward is an insane sunset
and a bird's eye view of the countryside.
the most beautiful place in Vietnam.
just don't crash your drone. go turn!",yes
Nui Than Tai Hot Springs Park,Experience,Da Nang,https://www.tiktok.com/@brandneweats/video/7509147962774277383,"You know, there's an onsen in Vietnam,
in Danang up in the mountains,
so it's so hot. Actually,
the best part is it's a whole hot Spring Park.
There's even a water park section,
which is a good place to start cause it's probably gonna be so hot.
Hopefully you don't get stuck like us.
We had to wiggle around for a solid 5 minutes
before we actually got through.
And all the wiggly around made us so hungry
we had to get a little snack.
And they even do onsen eggs here
cooked by the natural hot spring water.
You gotta get it with these Viet instant noodles.
But I swear the last time I had this in,
oh, it was hard boiled.
So I was not expecting it to droop out like this when I was opening it.
Now walk past this curl spot Simpson,
and we get to the hot spring area.
Honestly, at first it was really underwhelming.
Like the water was just lukewarm.
But once you swim further in
and get closer and closer to the source of the hot spring. No,
no, no.
Oh, oh my God,
my God, you're not.",yes
Dragon bridge,Experience,Da Nang,https://www.tiktok.com/@brandneweats/video/7232848560226602242,"

 Visit the Dragon Bridge.
This whole bridge is blocked off for a fire show
every Saturday and Sunday at 9 p. M.
You can't miss this. The fire show is every sat/sun at 9PM, head there around 5-10mins before to secure a good spot of the show. and if you’re on the right side, you won’t get sprayed by the water.",yes
Ba Na Hills/Golden Bridge,Experience,Da Nang,https://www.tiktok.com/@brandneweats/video/7232848560226602242,"I recommend getting a grab to Ba Na Hills if you can arrange them to pick you up as well, I didn’t get the buffet since it sounded mid, and went for Lotteria there! trip to Da Nang
isn't complete without visiting this place.
We're the Golden Hand Bridge
and I was surprised they even have these cool castles.",
Linh Ung pagoda,Experience,Da Nang,https://www.tiktok.com/@brandneweats/video/7232848560226602242, go around sunset for some amazing views of the city and coast on the way up. rent a scooter or take a grab bike up. it’s amazing! the pagoda itself is really zen and beautiful.,
Bún Bò Bà Rơi,Eat,Da Nang,https://www.tiktok.com/@brandneweats/video/7243288168072498434,"Let me show you where my local friend's favourite place
to get bun bo hue in Da Nang is.
And it actually ended up being my favourite one
that I tried in Vietnam as well.
And that's saying something
because I went all the way to where
where it was invented.
As soon as I walked in,
I was surprised at how nice the place looked
since I was expecting my
friend to take me somewhere on the street.
But this is the owner
and she told me she lets her broth simmer overnight
to extract all that good flavour from the bones.
The prices here are higher for Vietnam standards,
but she sources really high quality ingredients
like this ox tongue.
I got the special bowl with everything. So. Alright,
let's try it.
Oh, this is like the goo goo ball.
Back home in Sydney.
This is how my mom served me.
This is so good.",yes
Mi Quang 1A,Eat,Da Nang,https://www.tiktok.com/@brandneweats/video/7240277316599876866,"So I became friends with my taxi driver in Da Nang,
and he took me to his favorite me Wang shop,
which is the No.
1 thing you need to try when you're here.
Actually never had mi quang before coming to Vietnam,
but now it's easily one of my favorites.
Definitely better than FR.
It's a noodle dish
that's halfway between a soup and a dry one,
because they put just enough broth to cover the noodles,
so it's more concentrated.
Kind of like dipping ramen.
They topple with egg,
chicken, prawn,
and veggies.
Sweet, saute, savory.",yes
Con Market,Eat,Da Nang,https://www.tiktok.com/@brandneweats/video/7231153974500543771,"Today I'm trying whatever my taxi driver
tells me to eat in his local market in Da Nang. To start,
he brought me to try one of Da nang's specialties.
In Da Nang. 
So you start with that rice paper.
And then you get the thicker rice paper on top.
Put some veggies on.
You got your slab of pork belly.
You roll it up nicely like this.
You dip it in this shrimp paste.
This is really strong.
Just dip a little bit.
Be afraid of this sauce. Any remedy?
Brought over this dish of different kinds of bun.
I recommend getting this
so you can try a bit of everything.
I thought we were done,
but then he brought this bun gan gu.
And the flavours were kind of lacking
compared to the ones in my hometown.
And finally we tried these BA LA Lot skewers.
And they were good. Best grab driver, he wanted us to try all the local specialties in Da Nang and even paid for everything, so idk how much anything costed but it should be cheap since its in the market. don’t worry we tipped very well!!

What I Ate:

Banh trang cuon thit heo Rice Paper Rolls With Pork Belly

Mix banh plate (banh beo, banh bot loc, etc)

Banh canh cua (Crab Tapioca Noodle Soup)

Bò lá lốt (Beef Skewers wrapped in betal leaf)",yes
Bac My An Market,Eat,Da Nang,https://www.tiktok.com/@brandneweats/video/7229647657436761346,"This is everything I ate at the Bac My An Market
in Da Nang or Da Nang.
So we started outside on the street,
and we saw this quail.
Going crazy.
I just had to get it.
Such a nice and savory piece of meat.
It came with this bonus egg that was inside the quail.
Then I saw this lady selling some fresh
Vietnamese donut.
I love this.
It's soft, chewy, and a little bit sweet.
And of course, the sole reason I came here was for this
avocado ice cream.
Oh, what's this?
Oh, man, this was one of the best things I've ever eaten.
I'm pairing with the bun tiao I got before.
I'm a genius.
Even better with this.
Then I tried another specialty in Da Nang,
which is this bun Bot loc 
It was so nice and chewy
and paired with that chili fish sauce.
Definitely the best one I've had.
Then we checked out the nearby Wetmarket,
and it's bit weird to see the fish still alive
with that water.
But I found an interesting new fruit.",yes
Awaken Hotel,Stay,Da Nang,https://www.tiktok.com/@brandneweats/video/7520284378652478728,"You're not gonna believe how cheap this 5 star
beachfront hotel in Danang is.
I've already stayed in 5 hotels
and a pretty shitty Airbnb here
that actually had to leave after one day and book this place,
but this is my favorite one so far.
5 stars honestly doesn't mean much in Vietnam,
but these rooms actually feel pretty luxe.
I think it helps that it's newly built,
just opened last year. And the cool thing about this hotel
is that every room has a view of the beach.
So I booked the partial view,
but I got to check out the full Ocean View rooms
and I honestly regret not just paying a little bit more for this.
Imagine waking up to this.
It will be insane.
And thank god the beds are actually soft like western style,
not like a typical rock hard Vietnamese bed.
And the buffet breakfast is not bad either.
Good mix of western and Viet food.
There's also access to a pool and a gym.
And the best part is it's actually affordable.
I paid about 80 AUD, but to make sure you get the cheapest price, guys,
you can use my discount code on Agoda mobile app for up to 12% off ( ""BRANDNEWEATS"").
I'll be making a video for all of my favourite hotels in Vietnam
so make sure you follow along.",yes
Cơm gà A Hải,,Da Nang,https://www.tiktok.com/@brandneweats/video/7521041523258019079,"
Next, you have to visit my friend's favorite chicken rice spot.
If you never had Vietnamese chicken rice before,
it might actually surprise you because the chickens here are chewier,
you know, since they have rights and can roam around.
But at least get the fried chicken and the chicken salad.
And it's so yummy with this tomato fried rice.
",yes
Dua Ben Tre 196,,Da Nang,https://www.tiktok.com/@brandneweats/video/7521041523258019079,"Now for dessert, round 2,
this place is famous for the coconut desserts.
My favorite is the coconut jelly.
It's like the ultimate coconut experience.
The cream, the water,
the pulp in one.
",
Kem Bo Co Van (inside Bac My An Market),,Da Nang,https://www.tiktok.com/@brandneweats/video/7521041523258019079,"First is avocado ice cream.
It's made with a huge dollop of creamy avocado.
Damn in this economy.
And then top with a scoop of some coconut ice cream
and some crunchy coconut flakes.
And if you're durian lover,
you can add some puree on top.",
???,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7200133531253755137,No transcript available,no
Bánh khoái Hồng Mai,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7193282708175408385,"
started off with banh khoai,
similar to banh xeo but a thicker like a prawn cracker
and it comes with this delicious pinotti sauce.

",yes
Bánh canh o bướm,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7193282708175408385,"a delicious starchy crab based soup.
this place was full of locals
and it definitely hit the spot.
then for dessert,
or should I say savory,",
Chè Mợ Tôn Đích,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7193282708175408385,"I had this barbecue pork tapioca dessert
at the original place.
I was confused,
but the sweet and salty surprisingly worked,
",
Banh Xeo Hang Lien,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7197438352642116865,"Best part about knowing Vietnamese
while travelling Vietnam
is getting to try food that only locals eat
that I didn't know existed.
Like a really strong flavored muscle.
It melts in your mouth.
Give it a go, it's interesting.",yes
Nhà hàng cafe Vỹ Dạ Xưa,Eat,Hue,https://www.tiktok.com/@brandneweats/video/7193502517416709377,"if you want to drink tea like a Viet King,
then save this cafe in whoever. Vietnam.
the moment you walk in,
it feels like you transported back to the Nguyn dynasty.
I got the royal set, which comes with a traditional
Viet tea of your choosing and biscuits.
I chose the ones that the kings back then used to drink.
but too bad
this tastes like stock.
vegan duck noodles.
okay, but the biscuits were good.
this costed around $5
and was really worth the experience.",yes
"Cơm hến Hoa Đông, Hen Island",Eat,Hue,https://www.tiktok.com/@brandneweats/video/7193153689689853186,"this is the best Vietnamese rice dish
that you cannot find anywhere else.
com hen
a grab driver brought me to the best spot to try it,
right on the island where these tissues invented.
comes with papaya.
it has pork skin and a mixture of sauces.
you mix it all up.
and now let's try.
oh, my god. there's so much flavor.
I never added this one.
so sweet, umami. crunchy. everything you want.
this is like the stock from the pippes This is my new favourite viet rice dish - Com Hen (Baby Clam Rice). This is a must try, one of the many specialties of Hue, where you will find the best food in Vietnam.

Cost: $0.90 AUD (15k VND) and it comes with the rice bowl and soup.",yes
Dong Ba Market (Anthony Bourdain’s Hue Lady),Eat,Hue,https://www.tiktok.com/@brandneweats/video/7195164238980107521,"the famous Bourdain bun bo hue the biggest market anywhere.
You'll find everything here
from the souvenirs to local specialties,
including bourdain's famous bun bo hue Lady
and where is a bit hidden,
so here's how to find it.
start at Dongbau Market,
go to the main entrance and you'll see this
min fact jewelry shop.
take that first left.
keep going straight until you see this jewelry shop
on the left.
and on the right there should be the stairs.
go down the alley on the left of it.
go straight until you see the sign.  (Anthony Bourdain’s Hue Lady) 

also recommend going for the soybean drink
and this assorted plate of hue banh specialties.
the whole meal costed me $4.",yes
Hue Imperial City,Experience,Hue,https://www.tiktok.com/@brandneweats/video/7196463071714413826,"
Can't go to Hue without visiting the former capital
of the Nguyen Dynasty.
",yes
Abandoned Water Park,Experience,Hue,https://www.tiktok.com/@brandneweats/video/7196463071714413826,"The abandoned water park.
Bought me a fake wing,
but this was my favourite place in Hue.
Give this huge estate,
you can just roam around.
Go to the dragon head and let the water slides.
You might even run into some cows.",
Tomb of Emperor Khai Dinh,Experience,Hue,https://www.tiktok.com/@brandneweats/video/7196463071714413826,"There's 7 royal tombs,
but this one is the most grand and unique.
Architecture is amazing.",
Thien Mu Temple,Experience,Hue,https://www.tiktok.com/@brandneweats/video/7196463071714413826,,
"Spatel d'Annam Hotel, Hue, Vietnam",Stay,Hue,https://www.tiktok.com/@brandneweats/video/7523623659949296914,"Don't stay in Hue City. In hue,
I regretted it so bad after staying in a hotel in the Citadel.
Cause here
you actually feel like you're living in the Nguyen Dynasty era.
And I'm confident enough to say like
this is the best hotel cause it's right outside the city walls
and it's such a cool feeling
that you can just walk to the Imperial City.
The main attraction you want to hit up,
this one actually used to be a pharmacy.
They used to make like herbal remedies for the Nguyen king.
Even though the rooms look old and style,
the beds are pretty modern,
like it's soft and I really hate to say it,
but the breakfast buffet is actually good.
It's worth skipping an actual meal outside.
So the room start from 50 USD
and you can also get a discount with my code on Agoda ""BRANDNEWEATS"".
This only works in the mobile app and it also works for other hotels.
And if you want my hue itinerary, it's in my link in bio.",yes
"Tam Vi, Hanoi",Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7188377571887680770,"if you want to eat like a Viet king,
then save this restaurant in Hanoi.
the moment you walk in,
it feels like you're transported
back to the Nguyen dynasty.
and even the food tastes like what they would eat.
these were the highlights that I recommend getting
for a world balanced royal feast,
especially these spring rolls in the meat stuffed tofu,
which I stuffed up.
so can't forget the infamous
the car reminds me of home.
this costed us $10 per person,
and this was the best food I had in Hanoi.",yes
"Cafe Pho Co, Hanoi, Vietnam",Eat,Hanoi,https://www.tiktok.com/@brandneweats/video/7178830572565859585,,no
